file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,17,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,17,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,17,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,17,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,17,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,17,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,17,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,17,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,49,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,49,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,49,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,49,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,49,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,49,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,49,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,49,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,137,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,137,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,137,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,137,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,137,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,137,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,137,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,137,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,179,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,179,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,179,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,179,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,179,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,179,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,179,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,179,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,66,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,66,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,66,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,66,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,66,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,66,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,66,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,66,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,0,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,0,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,0,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,0,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,0,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,0,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,0,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,0,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,13,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,13,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,13,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,13,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,13,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,13,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,13,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,13,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,177,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,177,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,177,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,177,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,177,,same
