file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f52bd4ca3b0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f52bd4c4520&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f52bd4c5600&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,24,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fde2a6b23e0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fde2a6adf60&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fde2a6ad090&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,139,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fbbd4ea63e0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fbbd4ea1f60&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fbbd4ea1090&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,78,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f87a9006200&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f87a9001930&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f87a90013f0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,77,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f06ce35e380&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f06ce358310&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f06ce359f00&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,100,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f81a2886350&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f81a28802b0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f81a2881150&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,5,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f4902a862c0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f4902a802b0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f4902a81ae0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,6,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f8f5b5be3b0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f8f5b5b8520&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f8f5b5b9600&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,109,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f536cd3a350&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f536cd342b0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f536cd35150&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,68,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f158ad0a2f0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f158ad06260&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7f158ad05150&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,119,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fab825a6320&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_xml,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:47: IndexError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_iso_links,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:42: IndexError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_selects,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:28: AssertionError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_regex_skips,Passed,NO MESSAGE,,,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_single_dataset,Failed,"AssertionError: assert 0 == 1
  +0
  -1","['E       AssertionError: assert 0 == 1', 'thredds_crawler/tests/test_crawler.py:16: AssertionError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_ssl,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fab825a2290&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:77: AssertionError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_two_datasets,Failed,"AssertionError: assert 0 == 2
  +0
  -2","['E       AssertionError: assert 0 == 2', 'thredds_crawler/tests/test_crawler.py:24: AssertionError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_unidata_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fab825a13c0&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:93: AssertionError']",,,176,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_coawst_parse,Failed,"AssertionError: assert 0 &gt; 0
 +  where 0 = len([])
 +    where [] = &lt;thredds_crawler.crawl.Crawl object at 0x7fed9382e350&gt;.datasets","['E       AssertionError: assert 0 > 0', 'thredds_crawler/tests/test_crawler.py:107: AssertionError']",,,115,,same
,thredds_crawler.tests.test_crawler.CrawlerTest,test_dataset_size_using_dap,Failed,IndexError: list index out of range,"['E       IndexError: list index out of range', 'thredds_crawler/tests/test_crawler.py:51: IndexError']",,,115,,same
