file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature+baz-featurebaz],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/ABC-123-featureABC123],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_base,test_extract_version[v0.1-0.1],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_base,test_extract_version[oogabooga-None],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b-False],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a-False],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b/..-False],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/x/-False],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/..-False],Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a\\b-False],Skipped,cannot run on platform linux,[],,pytest.skip,44,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a-False],Skipped,cannot run on platform linux,[],,pytest.skip,44,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\x\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,44,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\f\\-False],Skipped,cannot run on platform linux,[],,pytest.skip,44,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,44,,same
,vcver.tests.scm.test_git,test_branch_envvar,Passed,NO MESSAGE,,,,44,,same
,vcver.tests.scm.test_git,test_branch_strips_refs,Passed,NO MESSAGE,,,,44,,same
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature+baz-featurebaz],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/ABC-123-featureABC123],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_base,test_extract_version[v0.1-0.1],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_base,test_extract_version[oogabooga-None],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b-False],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a-False],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b/..-False],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/x/-False],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/..-False],Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a\\b-False],Skipped,cannot run on platform linux,[],,pytest.skip,28,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a-False],Skipped,cannot run on platform linux,[],,pytest.skip,28,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\x\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,28,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\f\\-False],Skipped,cannot run on platform linux,[],,pytest.skip,28,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,28,,same
,vcver.tests.scm.test_git,test_branch_envvar,Passed,NO MESSAGE,,,,28,,same
,vcver.tests.scm.test_git,test_branch_strips_refs,Passed,NO MESSAGE,,,,28,,same
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature+baz-featurebaz],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/ABC-123-featureABC123],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_base,test_extract_version[v0.1-0.1],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_base,test_extract_version[oogabooga-None],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b-False],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a-False],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b/..-False],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/x/-False],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/..-False],Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a\\b-False],Skipped,cannot run on platform linux,[],,pytest.skip,86,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a-False],Skipped,cannot run on platform linux,[],,pytest.skip,86,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\x\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,86,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\f\\-False],Skipped,cannot run on platform linux,[],,pytest.skip,86,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,86,,same
,vcver.tests.scm.test_git,test_branch_envvar,Passed,NO MESSAGE,,,,86,,same
,vcver.tests.scm.test_git,test_branch_strips_refs,Passed,NO MESSAGE,,,,86,,same
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature+baz-featurebaz],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/ABC-123-featureABC123],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_base,test_extract_version[v0.1-0.1],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_base,test_extract_version[oogabooga-None],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b-False],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a-False],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b/..-False],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/x/-False],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/..-False],Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a\\b-False],Skipped,cannot run on platform linux,[],,pytest.skip,11,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a-False],Skipped,cannot run on platform linux,[],,pytest.skip,11,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\x\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,11,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\f\\-False],Skipped,cannot run on platform linux,[],,pytest.skip,11,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,11,,same
,vcver.tests.scm.test_git,test_branch_envvar,Passed,NO MESSAGE,,,,11,,same
,vcver.tests.scm.test_git,test_branch_strips_refs,Passed,NO MESSAGE,,,,11,,same
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature+baz-featurebaz],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/ABC-123-featureABC123],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_base,test_extract_version[v0.1-0.1],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_base,test_extract_version[oogabooga-None],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b-False],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a-False],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b/..-False],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/x/-False],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/..-False],Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a\\b-False],Skipped,cannot run on platform linux,[],,pytest.skip,42,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a-False],Skipped,cannot run on platform linux,[],,pytest.skip,42,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\x\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,42,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\f\\-False],Skipped,cannot run on platform linux,[],,pytest.skip,42,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,42,,same
,vcver.tests.scm.test_git,test_branch_envvar,Passed,NO MESSAGE,,,,42,,same
,vcver.tests.scm.test_git,test_branch_strips_refs,Passed,NO MESSAGE,,,,42,,same
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature+baz-featurebaz],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/ABC-123-featureABC123],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_base,test_extract_version[v0.1-0.1],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_base,test_extract_version[oogabooga-None],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b-False],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a-False],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b/..-False],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/x/-False],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/..-False],Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a\\b-False],Skipped,cannot run on platform linux,[],,pytest.skip,0,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a-False],Skipped,cannot run on platform linux,[],,pytest.skip,0,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\x\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,0,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\f\\-False],Skipped,cannot run on platform linux,[],,pytest.skip,0,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,0,,same
,vcver.tests.scm.test_git,test_branch_envvar,Passed,NO MESSAGE,,,,0,,same
,vcver.tests.scm.test_git,test_branch_strips_refs,Passed,NO MESSAGE,,,,0,,same
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature+baz-featurebaz],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/ABC-123-featureABC123],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_base,test_extract_version[v0.1-0.1],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_base,test_extract_version[oogabooga-None],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b-False],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a-False],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/a/b/..-False],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/x/-False],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_git,test_linux_is_repo[/..-False],Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a\\b-False],Skipped,cannot run on platform linux,[],,pytest.skip,69,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\a-False],Skipped,cannot run on platform linux,[],,pytest.skip,69,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\x\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,69,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\f\\-False],Skipped,cannot run on platform linux,[],,pytest.skip,69,,same
,vcver.tests.scm.test_git,test_win32_is_repo[c:\\..-False],Skipped,cannot run on platform linux,[],,pytest.skip,69,,same
,vcver.tests.scm.test_git,test_branch_envvar,Passed,NO MESSAGE,,,,69,,same
,vcver.tests.scm.test_git,test_branch_strips_refs,Passed,NO MESSAGE,,,,69,,same
,vcver.tests.test_full,test_happy_case,Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_full,test_child_directory_detected_as_git_repo,Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp0-1.0.dev20+master.abc123],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp1-0.dev20+develop.abc123],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp2-0.dev20+hotfix.abc123],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp3-0.dev20+featureabc123.abc123],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp4-1.0.dev30+master.abc123],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp5-2.0b1.dev20+master.abc123],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp6-2.0b0.dev20+master.abc123],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_version[inp7-1.0.dev20+master.12345],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_custom_version_format,Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_release_version_format,Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version,test_is_release,Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[master-master],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[develop-develop],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[hotfix-hotfix],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature/foo-featurefoo],Passed,NO MESSAGE,,,,135,,same
,vcver.tests.test_version_string,test_make_string_pep440_compatible[feature_bar-featurebar],Passed,NO MESSAGE,,,,135,,same
