file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,tests.test_commands,test_run_add,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_rm,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_install_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_install_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_install_wrong_sha1sum,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""        load_fixture('errors/sha1sum')"", ""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_install_via_gspreadsheet,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_install_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_upload_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_upload_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_commit_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_upload_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_freeze_and_unfreeze,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_mv,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_link,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_servers,test_basic_jsonrpc_server,Passed,NO MESSAGE,,,,34,,same
,tests.test_servers,test_jsonrpc_server_auth,Passed,NO MESSAGE,,,,34,,same
,tests.test_servers,test_basic_xmlrpc_server,Passed,NO MESSAGE,,,,34,,same
,tests.test_servers,test_xmlrpc_server_auth,Passed,NO MESSAGE,,,,34,,same
,tests.test_servers,test_serve,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_servers,test_console_server,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_servers,test_wrong_port,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"["">       assert fdep('serve', '--port', 'ERROR', '--driver', 'xmlrpc', 'app') == 1"", ""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_servers,test_wrong_driver,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,34,,same
,tests.test_commands,test_run_help,Passed,NO MESSAGE,,,,26,,same
,tests.test_commands,test_run_version,Passed,NO MESSAGE,,,,26,,same
,tests.test_commands,test_run_init,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_add,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_rm,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_install_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_install_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_install_wrong_sha1sum,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""        load_fixture('errors/sha1sum')"", ""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_install_via_gspreadsheet,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_install_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_upload_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_upload_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_commit_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_upload_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_freeze_and_unfreeze,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_mv,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_link,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_servers,test_basic_jsonrpc_server,Passed,NO MESSAGE,,,,26,,same
,tests.test_servers,test_jsonrpc_server_auth,Passed,NO MESSAGE,,,,26,,same
,tests.test_servers,test_basic_xmlrpc_server,Passed,NO MESSAGE,,,,26,,same
,tests.test_servers,test_xmlrpc_server_auth,Passed,NO MESSAGE,,,,26,,same
,tests.test_servers,test_serve,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_servers,test_console_server,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_servers,test_wrong_port,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"["">       assert fdep('serve', '--port', 'ERROR', '--driver', 'xmlrpc', 'app') == 1"", ""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_servers,test_wrong_driver,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,26,,same
,tests.test_commands,test_run_help,Passed,NO MESSAGE,,,,31,,same
,tests.test_commands,test_run_version,Passed,NO MESSAGE,,,,31,,same
,tests.test_commands,test_run_init,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_add,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_rm,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_install_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_install_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_install_wrong_sha1sum,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""        load_fixture('errors/sha1sum')"", ""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_install_via_gspreadsheet,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_install_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_upload_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_upload_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_commit_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_upload_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_freeze_and_unfreeze,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_mv,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_link,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_servers,test_basic_jsonrpc_server,Passed,NO MESSAGE,,,,31,,same
,tests.test_servers,test_jsonrpc_server_auth,Passed,NO MESSAGE,,,,31,,same
,tests.test_servers,test_basic_xmlrpc_server,Passed,NO MESSAGE,,,,31,,same
,tests.test_servers,test_xmlrpc_server_auth,Passed,NO MESSAGE,,,,31,,same
,tests.test_servers,test_serve,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_servers,test_console_server,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_servers,test_wrong_port,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"["">       assert fdep('serve', '--port', 'ERROR', '--driver', 'xmlrpc', 'app') == 1"", ""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_servers,test_wrong_driver,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,31,,same
,tests.test_commands,test_run_help,Passed,NO MESSAGE,,,,66,,same
,tests.test_commands,test_run_version,Passed,NO MESSAGE,,,,66,,same
,tests.test_commands,test_run_init,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_add,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_rm,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_install_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_install_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_install_wrong_sha1sum,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""        load_fixture('errors/sha1sum')"", ""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_install_via_gspreadsheet,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_install_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_upload_via_http,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_upload_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_commit_via_s3,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_upload_via_unsupported_backend,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_freeze_and_unfreeze,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_mv,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_commands,test_run_link,Failed,TypeError: load() missing 1 required positional argument: &#x27;Loader&#x27;,"[""E           TypeError: load() missing 1 required positional argument: 'Loader'"", '/workdir/sameOrder/tmp/flapy_repo_copy/fdep/config.py:95: TypeError']",,,66,,same
,tests.test_servers,test_basic_jsonrpc_server,Passed,NO MESSAGE,,,,66,,same
,tests.test_servers,test_jsonrpc_server_auth,Passed,NO MESSAGE,,,,66,,same
,tests.test_servers,test_basic_xmlrpc_server,Passed,NO MESSAGE,,,,66,,same
,tests.test_servers,test_xmlrpc_server_auth,Passed,NO MESSAGE,,,,66,,same
