file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,46,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,46,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,46,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,22,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,22,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,22,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,22,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,22,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,22,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,22,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,94,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,94,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,94,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,94,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,94,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,94,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,94,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,42,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,42,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,42,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,42,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,42,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,42,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,42,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,102,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,102,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,102,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,102,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,102,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,102,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,102,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,41,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,41,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,41,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,41,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,41,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,41,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,41,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,149,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,149,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,149,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,149,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,149,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,149,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,149,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,47,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,47,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,47,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,47,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,47,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,47,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,47,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,37,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,37,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,37,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,37,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,37,,same
,,yasa.tests.test_sleepstats,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_sleepstats.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,37,,same
,,yasa.tests.test_spectral,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_spectral.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,37,,same
,,yasa.tests.test_hypno,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_hypno.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,31,,same
,,yasa.tests.test_io,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_io.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,31,,same
,,yasa.tests.test_main,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_main.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,31,,same
,,yasa.tests.test_numba,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_numba.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,31,,same
,,yasa.tests.test_others,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/yasa/tests/test_others.py'."", ""E   ImportError: cannot import name 'simps' from 'scipy.integrate' (/workdir/sameOrder/tmp/flapy_virtual_env/lib/python3.10/site-packages/scipy/integrate/__init__.py)""]",,,31,,same
