file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,55,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,55,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,55,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,164,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,164,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,164,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,75,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,75,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,75,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,23,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,23,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,23,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,86,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,86,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,86,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,74,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,74,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,74,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,50,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,50,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,50,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,154,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,154,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,154,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,143,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,143,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,143,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_heating_network_2,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_cooling_network_2,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_electricity_network,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_gas_network,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_others_network,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_network_explosion_base,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_network_explosion_all,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_simple_plot,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_diameters,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_diameters_scaling,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_mass_flows,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_temperatures,Passed,NO MESSAGE,,,,54,,same
,tests.test_visuals,test_markers,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,54,,same
,tests.test_visuals,test_3D,Passed,NO MESSAGE,,,,54,,same
,tests.test_uesgraphs.Test_uesgraphs,test_add_building,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraphs,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_subgraph_buildings,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_plot_example_networks,Failed,TypeError: draw_networkx_edges() got an unexpected keyword argument &#x27;linewidths&#x27;,"[""E       TypeError: draw_networkx_edges() got an unexpected keyword argument 'linewidths'"", 'uesgraphs/visuals.py:1316: TypeError']",,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_additional_attribs,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_network_node,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_calc_angle,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_get_node_by_position,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_unconnected_nodes,Passed,NO MESSAGE,,,,64,,same
,tests.test_uesgraphs.Test_uesgraphs,test_remove_dead_ends,Passed,NO MESSAGE,,,,64,,same
,tests.test_visuals,test_basic_plot,Passed,NO MESSAGE,,,,64,,same
,tests.test_visuals,test_heating_network,Passed,NO MESSAGE,,,,64,,same
,tests.test_visuals,test_cooling_network,Passed,NO MESSAGE,,,,64,,same
